-22	4	0.000003
-21	4	0.000003
-20	6	0.000004
-19	11	0.000007
-18	15	0.000010
-17	25	0.000016
-16	628	0.000399
-15	524	0.000333
-14	8034	0.005102
-13	8245	0.005236
-12	7450	0.004731
-11	7727	0.004907
-10	7650	0.004858
-9	636	0.000404
-8	429	0.000272
-7	355	0.000225
-6	339	0.000215
-5	332	0.000211
-4	1769	0.001123
-3	853	0.000542
-2	4019	0.002552
-1	36938	0.023456
0	1216433	0.772452
1	14840	0.009424
2	5870	0.003728
3	3047	0.001935
4	2916	0.001852
5	3635	0.002308
6	2897	0.001840
7	1774	0.001127
8	1909	0.001212
9	5192	0.003297
10	13784	0.008753
11	5050	0.003207
12	28421	0.018048
13	38172	0.024240
14	98747	0.062706
15	28908	0.018357
16	5458	0.003466
17	4301	0.002731
18	1	0.000001
29	117	0.000074
30	95	0.000060
32	67	0.000043
33	59	0.000037
38	1	0.000001
39	306	0.000194
43	201	0.000128
44	211	0.000134
45	162	0.000103
46	3558	0.002259
48	417	0.000265
49	206	0.000131
50	234	0.000149
59	66	0.000042
60	90	0.000057
61	77	0.000049
76	172	0.000109
78	1	0.000001
79	196	0.000124
80	178	0.000113
81	526	0.000334
82	180	0.000114
85	134	0.000085
92	166	0.000105
