E00487:410:HWJG5CCXY:3:1101:5426:1995	35SEXT	100.000	37	0	0	29	65	7896	7860	2.68e-17	73.8
E00487:410:HWJG5CCXY:3:1101:5426:1995	35SEXT	100.000	29	0	0	1	29	4132	4104	1.59e-12	58.0
E00487:410:HWJG5CCXY:3:1101:5507:1995	35SEXT	100.000	38	0	0	34	71	7897	7860	7.51e-18	75.8
E00487:410:HWJG5CCXY:3:1101:5507:1995	35SEXT	100.000	35	0	0	1	35	4132	4098	4.63e-16	69.9
E00487:410:HWJG5CCXY:3:1101:6177:1995	35SEXT	97.619	42	1	0	1	42	4132	4091	7.75e-18	75.8
E00487:410:HWJG5CCXY:3:1101:6177:1995	35SEXT	91.892	37	3	0	37	73	7896	7860	4.44e-10	50.1
E00487:410:HWJG5CCXY:3:1101:10724:1995	35SEXT	100.000	38	0	0	34	71	7897	7860	7.51e-18	75.8
E00487:410:HWJG5CCXY:3:1101:10724:1995	35SEXT	97.143	35	1	0	1	35	4132	4098	1.13e-13	61.9
E00487:410:HWJG5CCXY:3:1101:11880:1995	35SEXT	100.000	36	0	0	35	70	7895	7860	1.15e-16	71.9
E00487:410:HWJG5CCXY:3:1101:11880:1995	35SEXT	100.000	34	0	0	1	34	4132	4099	1.80e-15	67.9
E00487:410:HWJG5CCXY:3:1101:13890:1995	35SEXT	100.000	37	0	0	28	64	7896	7860	2.63e-17	73.8
E00487:410:HWJG5CCXY:3:1101:13890:1995	35SEXT	100.000	28	0	0	1	28	4132	4105	6.18e-12	56.0
E00487:410:HWJG5CCXY:3:1101:15818:1995	35SEXT	96.667	60	2	0	1	60	4132	4073	4.66e-26	103
E00487:410:HWJG5CCXY:3:1101:15818:1995	35SEXT	100.000	37	0	0	61	97	7896	7860	4.16e-17	73.8
E00487:410:HWJG5CCXY:3:1101:30959:1995	35SEXT	100.000	29	0	0	1	29	4132	4104	5.97e-13	58.0
E00487:410:HWJG5CCXY:3:1101:19989:2012	35SEXT	100.000	37	0	0	34	70	7896	7860	2.92e-17	73.8
E00487:410:HWJG5CCXY:3:1101:19989:2012	35SEXT	100.000	33	0	0	1	33	4132	4100	7.12e-15	65.9
E00487:410:HWJG5CCXY:3:1101:23358:2012	35SEXT	100.000	39	0	0	1	39	4132	4094	2.21e-18	77.8
E00487:410:HWJG5CCXY:3:1101:23358:2012	35SEXT	100.000	38	0	0	43	80	7898	7861	8.72e-18	75.8
E00487:410:HWJG5CCXY:3:1101:6197:2030	35SEXT	97.297	37	1	0	30	66	7896	7860	6.65e-15	65.9
E00487:410:HWJG5CCXY:3:1101:6197:2030	35SEXT	96.875	32	1	0	1	32	4132	4101	6.41e-12	56.0
E00487:410:HWJG5CCXY:3:1101:8795:2030	35SEXT	97.297	37	1	0	29	65	7896	7860	6.53e-15	65.9
E00487:410:HWJG5CCXY:3:1101:8795:2030	35SEXT	100.000	29	0	0	1	29	4132	4104	1.59e-12	58.0
E00487:410:HWJG5CCXY:3:1101:17827:2030	35SEXT	100.000	38	0	0	1	38	4132	4095	7.99e-18	75.8
E00487:410:HWJG5CCXY:3:1101:17827:2030	35SEXT	100.000	37	0	0	39	75	7896	7860	3.16e-17	73.8
E00487:410:HWJG5CCXY:3:1101:6593:2047	35SEXT	100.000	38	0	0	31	68	7897	7860	7.15e-18	75.8
E00487:410:HWJG5CCXY:3:1101:6593:2047	35SEXT	96.774	31	1	0	1	31	4132	4102	2.62e-11	54.0
E00487:410:HWJG5CCXY:3:1101:9770:2065	35SEXT	100.000	42	0	0	39	80	7901	7860	3.53e-20	83.8
E00487:410:HWJG5CCXY:3:1101:9770:2065	35SEXT	94.872	39	2	0	1	39	4132	4094	1.29e-13	61.9
E00487:410:HWJG5CCXY:3:1101:10257:2065	35SEXT	100.000	38	0	0	1	38	4132	4095	8.12e-18	75.8
E00487:410:HWJG5CCXY:3:1101:10257:2065	35SEXT	100.000	37	0	0	40	76	7896	7860	3.21e-17	73.8
E00487:410:HWJG5CCXY:3:1101:14275:2065	35SEXT	100.000	101	0	0	6	106	4127	4027	4.06e-55	200
E00487:410:HWJG5CCXY:3:1101:14275:2065	35SEXT	94.444	36	2	0	106	141	7896	7861	1.48e-11	56.0
E00487:410:HWJG5CCXY:3:1101:15331:2065	35SEXT	97.872	47	1	0	31	77	7900	7854	1.76e-20	85.7
E00487:410:HWJG5CCXY:3:1101:15331:2065	35SEXT	100.000	30	0	0	1	30	4132	4103	1.01e-12	60.0
E00487:410:HWJG5CCXY:3:1101:22556:2065	35SEXT	100.000	38	0	0	29	66	7897	7860	6.90e-18	75.8
E00487:410:HWJG5CCXY:3:1101:22556:2065	35SEXT	100.000	28	0	0	1	28	4132	4105	6.41e-12	56.0
E00487:410:HWJG5CCXY:3:1101:22841:2065	35SEXT	97.297	37	1	0	28	64	7896	7860	6.42e-15	65.9
E00487:410:HWJG5CCXY:3:1101:22841:2065	35SEXT	100.000	28	0	0	1	28	4132	4105	6.18e-12	56.0
E00487:410:HWJG5CCXY:3:1101:23632:2065	35SEXT	100.000	30	0	0	1	30	4132	4103	2.02e-13	60.0
E00487:410:HWJG5CCXY:3:1101:25236:2065	35SEXT	100.000	37	0	0	32	68	7896	7860	2.82e-17	73.8
E00487:410:HWJG5CCXY:3:1101:25236:2065	35SEXT	100.000	30	0	0	1	30	4132	4103	4.25e-13	60.0
E00487:410:HWJG5CCXY:3:1101:27671:2065	35SEXT	100.000	36	0	0	1	36	4132	4097	1.53e-16	71.9
E00487:410:HWJG5CCXY:3:1101:7304:2083	35SEXT	100.000	38	0	0	30	67	7897	7860	7.03e-18	75.8
E00487:410:HWJG5CCXY:3:1101:7304:2083	35SEXT	100.000	29	0	0	1	29	4132	4104	1.65e-12	58.0
E00487:410:HWJG5CCXY:3:1101:7588:2083	35SEXT	97.436	39	1	0	30	68	7898	7860	4.41e-16	69.9
E00487:410:HWJG5CCXY:3:1101:7588:2083	35SEXT	100.000	29	0	0	1	29	4132	4104	1.68e-12	58.0
E00487:410:HWJG5CCXY:3:1101:8055:2083	35SEXT	100.000	30	0	0	1	30	4132	4103	1.58e-13	60.0
E00487:410:HWJG5CCXY:3:1101:8156:2083	35SEXT	100.000	30	0	0	1	30	4132	4103	1.58e-13	60.0
E00487:410:HWJG5CCXY:3:1101:13849:2100	35SEXT	100.000	38	0	0	34	71	7897	7860	7.51e-18	75.8
E00487:410:HWJG5CCXY:3:1101:13849:2100	35SEXT	100.000	35	0	0	1	35	4132	4098	4.63e-16	69.9
E00487:410:HWJG5CCXY:3:1101:22516:2100	35SEXT	100.000	31	0	0	30	60	7890	7860	9.29e-14	61.9
E00487:410:HWJG5CCXY:3:1101:22516:2100	35SEXT	100.000	28	0	0	2	29	4132	4105	5.73e-12	56.0
E00487:410:HWJG5CCXY:3:1101:23287:2100	35SEXT	100.000	34	0	0	1	34	4132	4099	1.65e-15	67.9
E00487:410:HWJG5CCXY:3:1101:23287:2100	35SEXT	96.875	32	1	0	34	65	7891	7860	6.29e-12	56.0
E00487:410:HWJG5CCXY:3:1101:6796:2118	35SEXT	100.000	37	0	0	29	65	7896	7860	2.68e-17	73.8
E00487:410:HWJG5CCXY:3:1101:6796:2118	35SEXT	100.000	29	0	0	1	29	4132	4104	1.59e-12	58.0
E00487:410:HWJG5CCXY:3:1101:7547:2118	35SEXT	98.582	141	2	0	1	141	4132	3992	3.40e-74	264
E00487:410:HWJG5CCXY:3:1101:8643:2118	35SEXT	100.000	39	0	0	34	72	7898	7860	1.93e-18	77.8
E00487:410:HWJG5CCXY:3:1101:8643:2118	35SEXT	100.000	34	0	0	1	34	4132	4099	1.86e-15	67.9
E00487:410:HWJG5CCXY:3:1101:10734:2118	35SEXT	100.000	37	0	0	33	69	7896	7860	2.87e-17	73.8
E00487:410:HWJG5CCXY:3:1101:10734:2118	35SEXT	100.000	30	0	0	1	30	4132	4103	4.32e-13	60.0
E00487:410:HWJG5CCXY:3:1101:16092:2118	35SEXT	100.000	30	0	0	1	30	4132	4103	1.58e-13	60.0
E00487:410:HWJG5CCXY:3:1101:26301:2118	35SEXT	100.000	38	0	0	36	73	7897	7860	7.75e-18	75.8
E00487:410:HWJG5CCXY:3:1101:26301:2118	35SEXT	97.143	35	1	0	1	35	4132	4098	1.17e-13	61.9
E00487:410:HWJG5CCXY:3:1101:7578:2135	35SEXT	97.368	38	1	0	33	70	7897	7860	1.80e-15	67.9
E00487:410:HWJG5CCXY:3:1101:7578:2135	35SEXT	97.143	35	0	1	1	34	4132	4098	2.71e-11	54.0
E00487:410:HWJG5CCXY:3:1101:9181:2135	35SEXT	100.000	33	0	0	1	33	4132	4100	7.12e-15	65.9
